Date,Open,High,Low,Close,Adj Close,Volume
2021-08-30,49.950001,49.950001,48.950001,49.169998,48.699749,13709000
2021-08-31,49.169998,49.430000,48.669998,49.009998,48.541275,14293100
2021-09-01,49.099998,49.639999,48.680000,49.110001,48.640324,10982100
2021-09-02,49.150002,49.500000,48.810001,48.950001,48.481853,13349300
2021-09-03,48.799999,49.000000,48.419998,48.820000,48.353092,9932500
2021-09-07,48.490002,49.230000,48.419998,48.720001,48.254055,12309900
2021-09-08,48.639999,49.520000,48.419998,48.970001,48.501659,11136300
2021-09-09,48.950001,48.950001,47.799999,48.419998,47.956921,13739500
2021-09-10,48.689999,50.419998,48.689999,49.490002,49.016689,22774700
2021-09-13,50.110001,50.950001,49.599998,50.820000,50.333965,18506500
2021-09-14,51.220001,51.419998,50.500000,50.740002,50.254734,12587300
2021-09-15,50.790001,51.930000,50.540001,51.820000,51.324402,13658500
2021-09-16,51.590000,51.900002,50.910000,51.520000,51.027275,12617300
2021-09-17,51.330002,51.930000,50.990002,51.330002,50.839092,45115700
2021-09-20,49.450001,49.540001,48.369999,49.369999,48.897831,24540600
2021-09-21,49.570000,49.779999,48.790001,49.369999,48.897831,14172700
2021-09-22,50.029999,51.220001,50.029999,50.779999,50.294350,14038300
2021-09-23,51.099998,52.080002,51.040001,51.919998,51.423447,14043200
2021-09-24,51.880001,52.630001,51.720001,52.230000,51.730480,11643500
2021-09-27,52.410000,53.570000,52.380001,53.240002,52.730824,13861400
2021-09-28,53.770000,54.209999,52.700001,52.849998,52.344551,16422900
2021-09-29,53.299999,53.360001,52.529999,52.930000,52.423786,10881100
2021-09-30,52.930000,53.200001,52.180000,52.709999,52.205894,16324300
2021-10-01,53.029999,53.380001,52.250000,53.130001,52.621876,16660400
2021-10-04,54.900002,55.639999,53.680000,53.980000,53.463749,29206700
2021-10-05,54.189999,54.740002,53.650002,54.340000,53.820305,18201500
2021-10-06,54.490002,55.500000,53.150002,53.930000,53.414223,29520800
2021-10-07,54.849998,56.740002,54.439999,56.439999,55.900215,31006000
2021-10-08,56.540001,59.209999,56.380001,58.570000,58.009850,33724900
2021-10-11,58.790001,59.349998,57.770000,58.090000,57.534439,17665700
2021-10-12,58.520000,59.330002,57.860001,58.959999,58.396118,17095000
2021-10-13,58.939999,58.939999,57.080002,57.770000,57.217499,18813800
2021-10-14,58.099998,58.290001,57.450001,57.689999,57.138256,11450100
2021-10-15,58.340000,58.709999,57.849998,58.000000,57.445297,12914600
2021-10-18,57.410000,57.580002,56.849998,56.889999,56.345917,12667900
2021-10-19,57.000000,57.060001,56.529999,56.849998,56.306297,10589000
2021-10-20,56.360001,58.240002,56.220001,57.669998,57.118454,13399900
2021-10-21,58.000000,58.669998,57.730000,58.410000,57.851379,11585400
2021-10-22,58.369999,58.700001,57.639999,57.770000,57.217499,11077600
2021-10-25,58.049999,58.310001,56.840000,57.759998,57.207592,14151000
2021-10-26,58.020000,58.299999,56.959999,57.369999,56.821323,16335800
2021-10-27,55.599998,55.759998,54.160000,54.259998,53.741066,36397600
2021-10-28,54.599998,55.580002,54.060001,54.240002,53.721264,23020300
2021-10-29,53.900002,55.040001,53.610001,54.430000,53.909443,16680700
2021-11-01,54.849998,55.740002,54.419998,55.490002,54.959305,15677600
2021-11-02,55.029999,55.980000,54.680000,55.590000,55.058350,16377500
2021-11-03,55.259998,56.169998,55.090000,56.000000,55.464424,14419400
2021-11-04,56.470001,58.770000,56.270000,58.639999,58.079178,24026100
2021-11-05,59.150002,59.349998,58.049999,58.520000,57.960323,16302200
2021-11-08,58.759998,60.330002,58.480000,59.599998,59.029999,14385500
2021-11-09,59.810001,59.930000,57.810001,58.619999,58.059364,13822900
2021-11-10,57.849998,60.560001,57.730000,59.270000,58.703152,22778600
2021-11-11,59.820000,62.150002,59.310001,61.820000,61.228767,29033900
2021-11-12,61.590000,64.029999,61.279999,63.400002,62.793655,31152400
2021-11-15,63.660000,63.730000,62.630001,62.970001,62.367771,14372100
2021-11-16,63.240002,63.279999,61.930000,62.610001,62.011215,16115000
2021-11-17,63.330002,65.070000,62.380001,64.610001,63.992081,29983400
2021-11-18,64.330002,65.180000,62.090000,62.330002,61.733891,23308100
2021-11-19,62.480000,62.970001,61.560001,61.799999,61.208954,19520600
2021-11-22,61.950001,64.959999,61.759998,64.059998,63.447338,19836200
2021-11-23,63.730000,64.040001,62.259998,63.049999,62.447006,16225100
2021-11-24,62.299999,62.599998,61.630001,62.189999,61.595226,12685000
2021-11-26,59.799999,60.570000,59.459999,60.169998,59.594547,13272600
2021-11-29,61.110001,61.540001,59.650002,59.860001,59.287514,15033100
2021-11-30,59.200001,59.840000,57.439999,57.869999,57.316544,21282200
2021-12-01,59.250000,60.590000,58.009998,58.060001,57.504730,26353700
2021-12-02,58.750000,61.299999,58.700001,61.020000,60.436417,25365100
2021-12-03,61.240002,61.689999,58.869999,59.709999,59.138943,19596100
2021-12-06,60.470001,60.730000,58.700001,59.840000,59.267700,16728200
2021-12-07,60.910000,62.380001,60.700001,61.529999,60.941536,14135700
2021-12-08,61.650002,61.810001,60.419998,60.779999,60.198711,10004100
2021-12-09,60.380001,60.630001,59.590000,59.619999,59.049805,12964800
2021-12-10,60.099998,63.290001,60.099998,63.209999,62.605469,22839800
2021-12-13,62.070000,62.180000,59.020000,59.130001,58.564491,27327000
2021-12-14,57.970001,59.200001,57.700001,58.400002,57.841480,17928700
2021-12-15,58.299999,58.889999,57.040001,58.610001,58.049465,14471600
2021-12-16,59.400002,60.619999,58.029999,58.389999,57.831570,17772200
2021-12-17,56.200001,56.389999,54.509998,55.160000,54.632462,42175800
2021-12-20,54.020000,54.540001,53.139999,54.040001,53.523170,19073900
2021-12-21,54.500000,54.900002,53.840000,54.790001,54.265999,15571300
2021-12-22,54.790001,56.349998,54.750000,56.080002,55.543663,16694000
2021-12-23,56.070000,57.090000,55.770000,56.910000,56.365723,13722300
2021-12-27,56.889999,57.750000,56.529999,57.430000,56.880753,9078900
2021-12-28,57.400002,58.119999,57.009998,57.110001,56.563812,8577700
2021-12-29,57.110001,57.700001,56.740002,57.230000,56.682663,7982300
2021-12-30,57.450001,58.779999,57.259998,58.130001,57.574055,11965900
2021-12-31,58.000000,59.049999,57.919998,58.630001,58.069275,9856300
2022-01-03,59.869999,61.570000,59.740002,61.169998,60.584980,20980200
2022-01-04,61.959999,65.980003,61.959999,65.739998,65.111275,44691300
2022-01-05,65.519997,67.209999,62.599998,62.740002,62.139969,43578700
2022-01-06,63.169998,63.500000,61.669998,62.869999,62.268726,20650900
2022-01-07,63.810001,63.910000,61.419998,62.270000,61.674465,17136100
2022-01-10,61.520000,62.000000,60.040001,61.070000,60.485939,18980400
2022-01-11,61.250000,61.560001,60.150002,61.459999,60.872211,16463800
2022-01-12,62.470001,62.720001,59.639999,61.029999,60.446320,20215000
2022-01-13,61.450001,63.380001,61.150002,61.770000,61.179245,19283000
2022-01-14,61.099998,61.770000,59.990002,61.099998,60.515652,16180300
2022-01-18,60.130001,60.349998,58.540001,58.790001,58.227745,18299100
2022-01-19,59.310001,59.840000,56.130001,56.240002,55.702137,20576000
2022-01-20,56.020000,57.330002,54.419998,54.650002,54.127342,21554100
2022-01-21,54.520000,54.700001,52.689999,53.279999,52.770439,25692800
2022-01-24,51.400002,52.660000,49.369999,52.639999,52.136562,32931800
2022-01-25,51.599998,52.509998,50.820000,51.900002,51.403641,22164500
2022-01-26,53.570000,53.990002,51.470001,52.349998,51.849335,23174300
2022-01-27,52.849998,53.349998,51.070000,51.450001,50.957943,21357400
2022-01-28,51.250000,51.250000,49.240002,50.240002,49.759518,26732600
2022-01-31,50.500000,52.750000,49.970001,52.730000,52.225697,20255200
2022-02-01,52.849998,54.240002,52.119999,54.070000,53.552887,23169600
2022-02-02,54.919998,55.549999,51.680000,53.500000,52.988338,34371700
2022-02-03,52.599998,54.419998,52.549999,53.110001,52.602062,23751800
2022-02-04,51.619999,51.849998,50.520000,51.290001,50.799473,22794900
2022-02-07,51.490002,52.000000,50.520000,50.709999,50.225018,18046500
2022-02-08,48.740002,49.880001,47.580002,49.459999,48.986973,38629700
2022-02-09,50.310001,51.680000,50.160000,50.720001,50.234924,24290800
2022-02-10,49.730000,51.790001,49.599998,50.340000,49.858559,17017600
2022-02-11,50.639999,50.970001,48.540001,48.830002,48.362999,20183800
2022-02-14,48.869999,49.189999,48.000000,48.400002,47.937115,17549800
2022-02-15,49.360001,49.910000,48.930000,49.669998,49.194965,15238500
2022-02-16,49.430000,50.570000,49.259998,50.430000,49.947697,13865500
2022-02-17,49.810001,49.849998,48.660000,48.820000,48.353092,13482800
2022-02-18,48.919998,49.209999,47.919998,48.599998,48.135197,16615900
2022-02-22,47.779999,47.939999,46.160000,46.770000,46.322704,19620300
2022-02-23,47.259998,48.299999,46.259998,46.380001,45.936436,13667700
2022-02-24,44.150002,46.410000,43.910000,46.349998,45.906715,21003700
2022-02-25,46.349998,47.480000,45.849998,47.430000,46.976391,13465100
2022-02-28,46.240002,47.119999,45.840000,46.720001,46.273182,18226700
2022-03-01,46.020000,46.160000,44.160000,44.520000,44.094223,21534200
2022-03-02,44.680000,46.599998,44.560001,46.320000,45.877003,19006400
2022-03-03,46.209999,46.740002,44.610001,44.900002,44.470585,18956300
2022-03-04,44.029999,44.160000,41.990002,42.400002,41.994495,26534700
2022-03-07,42.290001,42.439999,39.750000,39.830002,39.449078,25949900
2022-03-08,40.840000,42.310001,39.959999,40.200001,39.815533,24145100
2022-03-09,42.259998,42.860001,41.799999,42.279999,41.875641,21309000
2022-03-10,41.410000,42.230000,40.849998,41.849998,41.449753,17991200
2022-03-11,42.080002,42.340000,41.480000,41.509998,41.113007,13617900
2022-03-14,41.740002,42.430000,40.369999,40.830002,40.439514,18914000
2022-03-15,40.830002,42.250000,40.799999,42.130001,41.727077,16051000
2022-03-16,43.000000,44.169998,42.369999,43.849998,43.430626,17014500
2022-03-17,42.919998,43.830002,42.599998,43.660000,43.242447,13909000
2022-03-18,43.230000,45.040001,43.130001,44.820000,44.391354,19834400
2022-03-21,44.279999,44.669998,43.220001,43.610001,43.192921,17903900
2022-03-22,44.240002,45.270000,44.090000,44.560001,44.133839,14703000
2022-03-23,44.000000,44.520000,43.770000,43.779999,43.361294,15142300
2022-03-24,44.049999,44.860001,43.950001,44.349998,43.925842,11106200
2022-03-25,44.279999,44.310001,43.400002,43.650002,43.232544,10351200
2022-03-28,43.900002,44.250000,43.279999,44.220001,43.797089,12175200
2022-03-29,45.410000,46.740002,45.240002,46.259998,45.817577,16784100
2022-03-30,45.639999,46.029999,45.040001,45.220001,44.787529,12818800
2022-03-31,44.840000,44.900002,43.740002,43.740002,43.321678,17335000
2022-04-01,44.160000,44.450001,42.410000,42.959999,42.549141,16791500
2022-04-04,43.270000,43.419998,42.529999,43.180000,42.767036,12593000
2022-04-05,42.959999,43.160000,41.320000,41.419998,41.023865,19853900
2022-04-06,40.790001,41.330002,39.480000,39.500000,39.122227,29254900
2022-04-07,39.290001,39.529999,37.599998,38.720001,38.349693,28297600
2022-04-08,38.349998,40.049999,38.169998,39.349998,38.973663,22086800
2022-04-11,38.810001,41.340000,38.689999,40.330002,39.944294,25015300
2022-04-12,40.610001,40.779999,39.639999,40.040001,39.657066,17212800
2022-04-13,39.619999,40.450001,39.549999,40.220001,39.835346,10897600
2022-04-14,40.150002,40.779999,40.090000,40.130001,39.746208,13315700
2022-04-18,40.130001,40.930000,39.950001,40.630001,40.241425,11798000
2022-04-19,40.810001,42.189999,40.810001,42.080002,41.677559,13852800
2022-04-20,42.250000,43.240002,41.689999,41.720001,41.320999,12989800
2022-04-21,42.759998,43.000000,40.560001,40.709999,40.320656,12544000
2022-04-22,40.459999,40.740002,39.779999,39.840000,39.458977,17718400
2022-04-25,39.349998,39.990002,38.669998,39.820000,39.439171,18704400
2022-04-26,39.220001,39.450001,37.889999,38.040001,37.676193,21679500
2022-04-27,38.290001,39.520000,37.700001,38.660000,38.290264,19827700
2022-04-28,39.349998,39.610001,37.310001,38.750000,38.379406,22795600
2022-04-29,38.810001,39.419998,37.779999,37.910000,37.547440,16737800
